Program,Control Model,Product Area,Part Number,Part Description,Program Quantity of parts,Updated By,Reason for update,Ref Quantity,Supplier Info,Fgrp,Pos
V536,2,ART INFOTAINMENT PLATFORM,,CONTROL UNIT IHU 4.0 HIGH US,0.0,SYSTEM,Price imported from SI+/epic,1.0,AN3AC,null,null
V536,2,ART INFOTAINMENT PLATFORM,,SIX POINT SOCKET SCREW PF5*20,0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART INFOTAINMENT PLATFORM,,LOCAL PARAMETERS IHU,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,LOCAL PARAMETERS HUD,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,CERTIFICATE IHU,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,CERTIFICATE IHU PASSWORD,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,CERTIFICATE IHU,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,SOFTWARE SIGNING,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,SECONDARY BOOTLOADER IHU,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,"COMBI INSTRUMENT 12,3"" 1 APIX",0.0,SYSTEM,Price imported from SI+/epic,1.0,AEL5T,null,null
V536,2,ART INFOTAINMENT PLATFORM,,SECONDARY BOOTLOADER DIM,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,LOAD MODULE DIM,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,LOCAL PARAMETERS CONFIGURATION,0.0,,,1.0,,null,null
V536,2,ART INFOTAINMENT PLATFORM,,USB HUB TYPE C,0.0,SYSTEM,Price imported from SI+/epic,1.0,ANRJA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32142357.0,BRACKET SUBFRAME RIGHT,1.0,MNORDEL2,"Cost maturity update, no cost change",0.0,AEFA8,6500,033
V536,2,ART BODY CONTROL AND ROAD CONTACT,30622916.0,SEMS SCREW M8*30*MATHREAD,4.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,7612,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269680.0,AIR TANK FRONT AIR SUSPENSION,1.0,SVENBRAN,22w03: VPC82593 - rivet nut change,0.0,AENWB,7250,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,30640745.0,"FLANGE LOCK NUT M12*19,8",4.0,SYSTEM,Price imported from SI+/epic,4.0,AEKIF,7622,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,30741283.0,ECCENTRIC WASHER,2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6500,085
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SPRING DISC LOWER,0.0,SYSTEM,Price imported from SI+/epic,2.0,EASVA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746692.0,SEMS SCREW M16*140,2.0,SYSTEM,Price Imported from SI+/Epic,0.0,AELVW,6126,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,FLANGE SCREW M14*130,0.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746697.0,SEMS SCREW M14*140,2.0,SYSTEM,Price Imported from SI+/Epic,0.0,AELVW,6126,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32340196.0,REPAIR KIT,1.0,DMIJUSKO,"Updated ingoing part, VPC92034",0.0,AEITX,8962,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32346449.0,CAP CABLE GUIDE RH,1.0,KGANESH,VPC-88179,0.0,AEWAE,7210,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,31680604.0,TOWING EYE,1.0,SYSTEM,Price imported from SI+/epic,1.0,BQ5YA,8962,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746608.0,TRIPLESQUARE SOCKET SCREWM12*41,8.0,SYSTEM,Price imported from SI+/epic,8.0,AEKIF,6500,081
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SPRING AID FRONT,0.0,,,2.0,,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269678.0,AIR SUPPLY UNIT AIR SUSPENSION,1.0,AMIHAI,VPC82414 - SWITCH WABCO/ZF EXHASUT LINE WITH CHINAUST ONE ,0.0,AESR5,7250,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269679.0,VALVE BLOCK AIR SUSPENSION,1.0,AMIHAI,21w50 - New QOP for OWP packageing from RAPA,0.0,,7250,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32130768.0,UNDERBODY PANEL TOE-LINK LH,1.0,LLACZKO,Price imported from program,0.0,D8NLK,6500,085
V536,2,ART BODY CONTROL AND ROAD CONTACT,32283749.0,AIR SPRING FRONT RH,1.0,EJOHAN25,VPC 88104. DCM 22w35,0.0,AEISC,7210,015
V536,2,ART BODY CONTROL AND ROAD CONTACT,32130769.0,UNDERBODY PANEL TOE-LINK RH,1.0,LLACZKO,Price imported from program,0.0,D8NLK,6500,085
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"SEMS NUT M12*15,3",0.0,SYSTEM,Price imported from SI+/epic,2.0,D07FD,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32283748.0,AIR SPRING FRONT LH,1.0,EJOHAN25,VPC 88104. DCM 22w35,0.0,AEISC,7210,015
V536,2,ART BODY CONTROL AND ROAD CONTACT,,FLANGE SCREW M14*80,0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"SIX POINT SOCKET SCREW ST4,8*13",0.0,SYSTEM,Price imported from SI+/epic,3.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30670602.0,SEMS SCREW M10*65,2.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,6100,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SOCKET WRENCH,0.0,SYSTEM,Price imported from SI+/epic,1.0,BXJLA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30670603.0,PRESS SCREW M12*40,2.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,6120,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,,COMPRESSOR REPAIR KIT TYRE,0.0,SYSTEM,Price imported from SI+/epic,1.0,M09EB,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SPRING DISC UPPER,0.0,SYSTEM,Price imported from SI+/epic,2.0,EASVA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,BOTTLE REPAIR KIT,0.0,SYSTEM,Price imported from SI+/epic,1.0,M09EB,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,MULTI BRACKET RH,0.0,SYSTEM,Price imported from SI+/epic,1.0,AELYD,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30670573.0,PRESS SCREW M10*110,2.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,6500,081
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"FLANGE SCREW M14*130*136,43",0.0,SYSTEM,Price imported from SI+/epic,2.0,D07FA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32315303.0,AIR SPRING REAR LH,1.0,EJOHAN25,22w14 FMTM-Cost/SPA2 PDG. Cost incr due to vol red,0.0,AEISC,7220,015
V536,2,ART BODY CONTROL AND ROAD CONTACT,32315304.0,AIR SPRING REAR RH,1.0,EJOHAN25,22w14 FMTM-Cost/SPA2 PDG. Cost incr due to vol red,0.0,AEISC,7220,015
V536,2,ART BODY CONTROL AND ROAD CONTACT,,BRACKET RH TRIANGLE STAY,0.0,SYSTEM,Price imported from SI+/epic,1.0,AD8MD,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,BRACKET LH TRIANGLE STAY,0.0,SYSTEM,Price imported from SI+/epic,1.0,AD8MD,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"PLASTIC RIVET 8*8,5",0.0,SYSTEM,Price imported from SI+/epic,4.0,BQ1LA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,9401851.0,WHEEL MODULE FRONT LEFT,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEXXW,7710,001
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269342.0,KNUCKLE LH REAR CPL,1.0,GAXELSSO,Cost increase according to VPC87149,0.0,AELCA,6500,082
V536,2,ART BODY CONTROL AND ROAD CONTACT,9401852.0,WHEEL MODULE FRONT RIGHT,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEXXW,7710,002
V536,2,ART BODY CONTROL AND ROAD CONTACT,,ECCENTRIC SCREW M12*80,0.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269341.0,TOE-LINK CPL,2.0,LLACZKO,Supplier man.location change & VPC82010,0.0,D8NLK,6500,085
V536,2,ART BODY CONTROL AND ROAD CONTACT,32246344.0,PRESEAL WHEEL BEARING,2.0,DBEALES,Change to contracted price,0.0,AEEB5,6500,082
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269343.0,KNUCKLE RH REAR CPL,1.0,GAXELSSO,Cost increase according to VPC87149,0.0,AELCA,6500,082
V536,2,ART BODY CONTROL AND ROAD CONTACT,30640924.0,FLANGE SCREW M12*100,2.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,7612,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,MULTI BRACKET LH,0.0,SYSTEM,Price imported from SI+/epic,1.0,AELYD,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,GAITER,0.0,SYSTEM,Price imported from program,2.0,CLU0A,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,FLANGE SCREW M8*20,0.0,SYSTEM,Price imported from SI+/epic,4.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30670536.0,FLANGE SCREW M8*25,4.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,7622,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEMS SCREW M10*65,0.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32346156.0,LOWER LINK ARM CPL LH REAR,1.0,GAXELSSO,Cost increase due to VPC 84564,0.0,AEJN8,6500,091
V536,2,ART BODY CONTROL AND ROAD CONTACT,987885.0,"FLANGE LOCK NUT M12*16,1",2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6500,085
V536,2,ART BODY CONTROL AND ROAD CONTACT,32346158.0,LOWER LINK ARM CPL RH REAR,1.0,GAXELSSO,Cost increase due to VPC 84564,0.0,AEJN8,6500,091
V536,2,ART BODY CONTROL AND ROAD CONTACT,,WASHER LEAF SPRING OUTER,0.0,SYSTEM,Price imported from SI+/epic,2.0,AER47,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,985857.0,FLANGE NUT M5*5,3.0,SYSTEM,Price imported from SI+/epic,0.0,D07FF,3673,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SPRING SEAT LOWER INNER RS 2,0.0,SYSTEM,Intial Published Price Copied from Factory 36,2.0,,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269338.0,UPPER LINK ARM CPL REAR,2.0,JERICSO2,Price imported from program,0.0,AECIB,6500,081
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SENSOR FRONT RH,0.0,SYSTEM,Price imported from SI+/epic,1.0,A426S,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32246872.0,HUB DRIVEN,2.0,JERICSO2,"Change to ""Contract""",0.0,N5MXB,6500,081
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEMS SCREW M14*130,0.0,SYSTEM,Price imported from SI+/epic,4.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746724.0,"SEMS SCREW M14*110*111,2",2.0,SYSTEM,Price Imported from SI+/Epic,0.0,AELVW,6120,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SPACER BRACKET,0.0,SYSTEM,Price imported from SI+/epic,1.0,AELYD,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30670545.0,SEMS SCREW M8*42,6.0,SYSTEM,Price imported from SI+/epic,6.0,AELVW,7210,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32283334.0,CONTROL UNIT SUM,1.0,GVASILEV,21w07: VPC81843 - SUM change SBC chip,0.0,,3673,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,WHEEL CAP BLACK,0.0,SYSTEM,Price imported from SI+/epic,4.0,D38ME,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269325.0,BRACKET SUBFRAME LEFT,1.0,JERICSO2,"Aligment with price from old ""PECCA""",0.0,,6500,033
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SPRING SEAT UPPER INNER P2,0.0,SYSTEM,Price imported from SI+/epic,2.0,AD6TP,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269361.0,KNUCKLE RH,1.0,SELMALI,VPC87439 - Change Hole type - DMC id 390,0.0,AELCA,6100,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269485.0,LEVEL SENSOR LH FRONT,1.0,SVENBRAN,21w41: Agreed/contracted,0.0,A426S,3673,070
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269484.0,LEVEL SENSOR RH FRONT,1.0,SYSTEM,Price imported from SI+/epic,0.0,A426S,3673,070
V536,2,ART BODY CONTROL AND ROAD CONTACT,32315508.0,ANTI-ROLL BAR REAR BEV,1.0,DLIMA,Price imported from program,0.0,AEUMW,7622,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269487.0,ACCELEROMETER,2.0,SVENBRAN,21w41: Agreed/contracted,0.0,,3673,060
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269486.0,ACCELEROMETER,1.0,SVENBRAN,21w41: Agreed/contracted,0.0,G1UHF,3673,060
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269489.0,LEVEL SENSOR REAR LH,1.0,SVENBRAN,22w13: VPC79802 - Level Sensor rear bracket change,0.0,A426S,3673,070
V536,2,ART BODY CONTROL AND ROAD CONTACT,30769373.0,FLANGE SCREW M10*45 MATHREAD,2.0,,,0.0,AEKIF,6126,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SPACER 33MM RS A,0.0,SYSTEM,Price imported from SI+/epic,2.0,CGD8A,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746659.0,PRESS SCREW M10*85,2.0,SYSTEM,Price Imported from SI+/Epic,0.0,AELVW,6500,081
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"SEMS SCREW M12*45*51,15 MATHREAD",0.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269360.0,KNUCKLE LH,1.0,SELMALI,VPC87439 - Change Hole type - DMC id 390,0.0,AELCA,6100,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746532.0,SEMS SCREW M12*90,4.0,SYSTEM,Price Imported from SI+/Epic,0.0,AELVW,7250,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746807.0,"FLANGE LOCK NUT M14*22,9",4.0,SYSTEM,Price Imported from SI+/Epic,0.0,AEKIF,7621,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32283541.0,BRACKET UNDERFALL,2.0,SELMALI,VPC88645 DCM id 494,0.0,AELCA,6126,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32283542.0,LATERAL STAY,1.0,SGILFAR,Price imported from program,0.0,AEXFC,6126,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32134885.0,"WHEEL 9X21X38,5",1.0,JODDEBY1,VPC83880,0.0,AEXXW,7710,161
V536,2,ART BODY CONTROL AND ROAD CONTACT,31387674.0,LINK ANTI-ROLL BAR LH,1.0,SYSTEM,Price imported from SI+/epic,1.0,FKHKB,7622,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32134887.0,"WHEEL 10X21X44,5",1.0,JODDEBY1,VPC83880,0.0,AEXXW,7710,181
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEALING RING WHEEL BEARIN,0.0,SYSTEM,Price imported from SI+/epic,2.0,BHFCA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30769365.0,FLANGE SCREW M14*140*142,4.0,,,0.0,AEKIF,6500,082
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEMS SCREW M14*130,0.0,SYSTEM,Price imported from SI+/epic,4.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269351.0,FORK RH,1.0,SELMALI,VPC91361,0.0,AECIB,7611,040
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269350.0,FORK LH,1.0,SELMALI,VPC91361,0.0,AECIB,7611,040
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269353.0,CONTROL ARM UPPER FRONT RH,1.0,SELMALI,VPC87418 - Remove surface treatment - DCM id 410 & 411,0.0,AER0Z,6120,025
V536,2,ART BODY CONTROL AND ROAD CONTACT,31423735.0,WHEEL BOLT,20.0,SYSTEM,Price imported from SI+/epic,20.0,AEKIF,7710,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269352.0,CONTROL ARM UPPER FRONT LH,1.0,SELMALI,VPC87418 - Remove surface treatment - DCM id 410 & 411,0.0,AER0Z,6120,025
V536,2,ART BODY CONTROL AND ROAD CONTACT,30640814.0,FLANGE SCREW M5*14,4.0,SYSTEM,Price imported from SI+/epic,3.0,AEKIF,3673,070
V536,2,ART BODY CONTROL AND ROAD CONTACT,31109094.0,SEMS SCREW M6*25,2.0,SYSTEM,Price Imported from SI+/Epic,0.0,AEKIF,7250,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SUBFRAME FRONT,0.0,SYSTEM,Price imported from SI+/epic,1.0,AEPG7,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30640815.0,SEMS SCREW M5*25,3.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3673,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEMS SCREW M10*35,0.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEMS SCREW M8*90,0.0,SYSTEM,Price imported from SI+/epic,4.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32346661.0,ANTI-ROLL BAR FRONT 31MM,1.0,WKARLSS1,Reference VPC78573 appproved 21w44.,0.0,AEUMW,7621,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,,HUB DRIVEN,0.0,SYSTEM,Price imported from SI+/epic,2.0,N5MXB,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746544.0,"SEMS SCREW M12*120*126,35",2.0,SYSTEM,Price Imported from SI+/Epic,0.0,AELVW,7621,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746665.0,SEMS SCREW M10*110,4.0,SYSTEM,Price Imported from SI+/Epic,0.0,AELVW,6126,050
V536,2,ART BODY CONTROL AND ROAD CONTACT,,PLASTIC CAP MATT TECH GREY,0.0,SYSTEM,Price imported from SI+/epic,1.0,BQ1LA,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,FLANGE SCREW M14*85,0.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32134419.0,SENSOR TPMS,1.0,SYSTEM,Price Imported from SI+/Epic,0.0,AEXXW,7710,408
V536,2,ART BODY CONTROL AND ROAD CONTACT,,BRACKET SUBFRAME,0.0,SYSTEM,Price imported from SI+/epic,2.0,AER47,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269348.0,LINK FRONT ANTI-ROLL BAR,1.0,EJOHAN25,21w41 correction,0.0,,7621,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEALING PLATE DISC 35,0.0,SYSTEM,Price imported from SI+/epic,3.0,AERZQ,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,ITPMS LICENCE,0.0,SYSTEM,Price imported from SI+/epic,1.0,EZG6A,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269349.0,LINK FRONT ANTI-ROLL BAR,1.0,EJOHAN25,21w41 correction,0.0,,7621,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32283959.0,IMPACT MEMBER FRONT,1.0,JEKLUND6,"Price alignment from KU 280310 (V536) and 290027 (723K) in ""old Pecca""",0.0,AEO3U,6126,050
V536,2,ART BODY CONTROL AND ROAD CONTACT,32134899.0,TYRE 265/45R21 108H XL,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEXXW,7710,261
V536,2,ART BODY CONTROL AND ROAD CONTACT,30624632.0,"FLANGE LOCK NUT M12*13,8",2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6120,025
V536,2,ART BODY CONTROL AND ROAD CONTACT,,ANTI-ROLL BAR FRONT RS 2,0.0,SYSTEM,Price imported from SI+/epic,1.0,AECSH,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"SEMS NUT M12*15,3",0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746594.0,SEMS SCREW M10*65,4.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,6120,025
V536,2,ART BODY CONTROL AND ROAD CONTACT,32370060.0,CONTROL ARM LOWER FRONT RH,1.0,SELMALI,VPC86008 - Pt4 bushing design update due to clashes,0.0,AER0Z,6120,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"SEMS SCREW M14*98*95,6 MATHREAD",0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,988772.0,FLANGE SCREW M12*65,2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6500,082
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEMS SCREW M8*50,0.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746910.0,ECCENTRIC SCREW M12*85,2.0,,New part no pulled w co 78632 and VPC91343,0.0,D19CA,6500,085
V536,2,ART BODY CONTROL AND ROAD CONTACT,30746634.0,"SEMS SCREW M14*80*81,8",2.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,6500,082
V536,2,ART BODY CONTROL AND ROAD CONTACT,,SEMS SCREW M10*35,0.0,SYSTEM,Price imported from SI+/epic,1.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,985899.0,"FLANGE LOCK NUT M6*7,3",4.0,SYSTEM,Price imported from SI+/epic,1.0,AEKIF,3673,070
V536,2,ART BODY CONTROL AND ROAD CONTACT,32134902.0,TYRE 295/40R21 111H XL,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEXXW,7710,281
V536,2,ART BODY CONTROL AND ROAD CONTACT,985931.0,"FLANGE LOCK NUT M12*13,8",2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6500,082
V536,2,ART BODY CONTROL AND ROAD CONTACT,,FLANGE NUT M10*10,0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,30670581.0,SEMS SCREW M8*57,2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,7621,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269898.0,AIR HOSE REAR BUNDLE,1.0,KBANDEKA,VPC89082,0.0,AEZ5Y,7250,050
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269897.0,AIR HOSE FRONT LH FOR A/S FR LH,1.0,KBANDEKA,Corrected as per PRice agreement,0.0,,7250,040
V536,2,ART BODY CONTROL AND ROAD CONTACT,985938.0,FLANGE NUT M12*12,2.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6120,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,999232.0,FLANGE SCREW M6*16,1.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6500,031
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269899.0,AIR HOSE REAR FOR A/S RR LH,1.0,KBANDEKA,VPC89082,0.0,AEZ5Y,7250,050
V536,2,ART BODY CONTROL AND ROAD CONTACT,30624367.0,FLANGE SCREW M6*25*28 MATHREAD,1.0,SYSTEM,Price imported from SI+/epic,0.0,AEKIF,3673,060
V536,2,ART BODY CONTROL AND ROAD CONTACT,32315894.0,SECONDARY BOOT LOADER SUM,1.0,,,0.0,,3673,110
V536,2,ART BODY CONTROL AND ROAD CONTACT,32246931.0,SHOCK ABSORBER REAR LH CCD,1.0,EJOHAN25,VPC91370,0.0,,7612,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32370059.0,CONTROL ARM LOWER FRONT LH,1.0,SELMALI,VPC86008 - Pt4 bushing design update due to clashes,0.0,AER0Z,6120,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,31109343.0,"SEMS LOCK NUT M6*7,8",1.0,SYSTEM,Price Imported from SI+/Epic,0.0,AEKIF,7250,010
V536,2,ART BODY CONTROL AND ROAD CONTACT,32246932.0,SHOCK ABSORBER REAR RH CCD,1.0,EJOHAN25,VPC91370,0.0,,7612,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269890.0,AIR HOSE FRONT RIGHT BUNDLE,1.0,KBANDEKA,Corrected as per price agreement,0.0,,7250,040
V536,2,ART BODY CONTROL AND ROAD CONTACT,31387675.0,LINK ANTI-ROLL BAR RH,1.0,SYSTEM,Price imported from SI+/epic,1.0,FKHKB,7622,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269894.0,AIR HOSE FRONT BNUNDLE,1.0,KBANDEKA,VPC90630,0.0,,7250,040
V536,2,ART BODY CONTROL AND ROAD CONTACT,32315879.0,LOCAL CONFIGURATION SUM,1.0,,,0.0,,3673,140
V536,2,ART BODY CONTROL AND ROAD CONTACT,32315877.0,LOCAL CONFIGURATION SUM,1.0,,,0.0,,3673,120
V536,2,ART BODY CONTROL AND ROAD CONTACT,30640958.0,"SEMS NUT M10*12,7",4.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,6500,081
V536,2,ART BODY CONTROL AND ROAD CONTACT,32315878.0,LOCAL CONFIGURATION SUM,1.0,,,0.0,,3673,130
V536,2,ART BODY CONTROL AND ROAD CONTACT,,"SEMS SCREW M8*20*19,12",0.0,SYSTEM,Price imported from SI+/epic,2.0,AEKIF,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,,PRESS SCREW M10*80,0.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,null,null
V536,2,ART BODY CONTROL AND ROAD CONTACT,32269490.0,LEVEL SENSOR REAR RH,1.0,SVENBRAN,22w13: VPC79802 - Level Sensor rear bracket change,0.0,A426S,3673,070
V536,2,ART BODY CONTROL AND ROAD CONTACT,32327981.0,WHEEL CAP,4.0,KSIMA,VPC81417,0.0,AE48N,7710,030
V536,2,ART BODY CONTROL AND ROAD CONTACT,988920.0,FLANGE SCREW M10*60,2.0,SYSTEM,Price imported from SI+/epic,2.0,AELVW,7611,040
V536,2,ART BODY CONTROL AND ROAD CONTACT,30670589.0,FLANGE SCREW M12*75,4.0,SYSTEM,Price imported from SI+/epic,4.0,AELVW,6120,020
V536,2,ART BODY CONTROL AND ROAD CONTACT,32327587.0,ADHESIVE BALANCE WEIGHT BLACK,0.0,SYSTEM,Price imported from SI+/epic,0.0,AEXXW,7710,415
